MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
18004129,['CHE1081'],1,[],0
18004235,['CHE1075'],1,[],0
18004238,['POL1001'],1,[],0
18004242,['MAT3533'],1,[],0
18004261,['POL1001'],1,[],0
18004382,['GEO2320'],1,[],0
18004390,['CHE1057'],1,[],0
18004410,['MAT3452'],1,[],0
18004418,['BIO3252'],1,[],0
18004498,['HMO3204'],1,[],0
18004542,['BIO2088'],1,[],0
18004565,['BIO3252'],1,[],0
18004654,['BIO3201'],1,[],0
18004658,['MAT3539'],1,[],0
18004711,['PHI1002'],1,[],0
18004719,['CHE1075'],1,[],0
18004725,['BIO3301 CLCCNS'],1,[],0
18004751,['HIS1001'],1,[],0
18004765,['PHY2306'],1,[],0
18004781,['PHY2306'],1,[],0
18004839,['MAT3533'],1,[],0
18004851,['GEO1050'],1,[],0
18004889,['EVS2301'],1,[],0
18004936,['MAT2306'],1,[],0
18004996,['CHE1075'],1,[],0
18005054,['CHE1075'],1,[],0
18005076,['PHI1002'],1,[],0
18005226,['MAT2301'],1,[],0
18005329,['MAT1092'],1,[],0
18005403,['MAT4072'],1,[],0
18005420,['MAT3539'],1,[],0
18005443,['PHY2306'],1,[],0
18005622,['EVS3245'],1,[],0
18005634,['MAT4072'],1,[],0
18005705,['BIO2210'],1,[],0
18005710,['CHE1075E CLCHD'],1,[],0
18005721,['PHY2304'],1,[],0
18005815,['MAT1092'],1,[],0
18005857,['BIO3201'],1,[],0
18005925,['BIO2045'],1,[],0
18006007,['CHE1057'],1,[],0
18006182,['MAT1091'],1,[],0
18006213,['CHE1081'],1,[],0
18006231,['MAT3535 CLCMTKHTT'],1,[],0
18006318,['PHI1002'],1,[],0
18006357,['PHY2303 TNL'],1,[],0
18006363,['MAT3535 CLCMTKHTT'],1,[],0
18006389,['PHY2302'],1,[],0
18006490,['MAT3535 CLCMTKHTT'],1,[],0
18006548,['PHY2306'],1,[],0
18006568,['BIO3258'],1,[],0
18006570,['GEO2059'],1,[],0
18006651,['PHY2306'],1,[],0
18006656,['BIO3252'],1,[],0
18006668,['CHE1075'],1,[],0
18006815,['MAT1292 TNS'],1,[],0
18006853,['CHE1081'],1,[],0
18006856,['MAT1091'],1,[],0
18006918,['CHE1081'],1,[],0
18006930,['BIO3258'],1,[],0
18006949,['MAT3533'],1,[],0
18007043,['MAT3533'],1,[],0
18007046,['MAT1090'],1,[],0
18007053,['PHY2304'],1,[],0
18007060,['CHE2121 TNH'],1,[],0
18007410,['BIO3098'],1,[],0
18007626,['MAT1090'],1,[],0
18007720,['MAT1090'],1,[],0
18007724,['BIO3098'],1,[],0
18007729,['PHI1002'],1,[],0
18007748,['MAT1092'],1,[],0
18007758,['PHY1103'],1,[],0
18007794,['POL1001'],1,[],0
18007904,['HIS1001'],1,[],0
18007985,['BIO3098'],1,[],0
18008053,['BIO3301 CLCCNS'],1,[],0
18008082,['PHY2304'],1,[],0
18008152,['MAT3535 CLCMTKHTT'],1,[],0
18008248,['PHY1108'],1,[],0
18008303,['CHE1075'],1,[],0
18008323,['MAT3533'],1,[],0
18008391,['BIO2220'],1,[],0
18008429,['BIO3257 TNS'],1,[],0
18008436,['PHY1100'],1,[],0
18008490,['CHE1075'],1,[],0
18008516,['BIO3098'],1,[],0
18008601,['BIO3258'],1,[],0
18008704,['HMO3204'],1,[],0
18008799,['MAT1192'],1,[],0
18008905,['POL1001'],1,[],0
18008928,['BIO2088'],1,[],0
18009059,['MAT2502'],1,[],0
18009066,['MAT3306'],1,[],0
18009072,['PHI1002'],1,[],0
18009263,['MAT4072'],1,[],0
18009336,['CHE1081'],1,[],0
18009354,['POL1001'],1,[],0
18009378,['MAT3500'],1,[],0
18009381,['GEO1050'],1,[],0
18009428,['EVS3242'],1,[],0
18009466,['MAT1292 TNS'],1,[],0
18009473,['CHE1080'],1,[],0
18009637,['CHE1052 CLCCNH'],1,[],0
18009837,['BIO2403E CLCCNS'],1,[],0
18009840,['CHE1075'],1,[],0
18009851,['BIO3301 CLCCNS'],1,[],0
18009977,['CHE1075'],1,[],0
18010015,['CHE2114'],1,[],0
18011095,['CHE1080'],1,[],0
18011729,['PHY3606'],1,[],0
18012728,['MAT2306'],1,[],0
18012980,['MAT2308'],1,[],0
18013292,['PHY2304'],1,[],0
18013590,['MAT2306'],1,[],0
18014820,['CHE1090'],1,[],0
18014828,['PHY2306'],1,[],0
18015020,['MAT2306'],1,[],0
18015934,['CHE1079'],1,[],0
18016181,['CHE1080'],1,[],0
18016568,['MAT3305'],1,[],0
18016815,['PHY3606'],1,[],0
18017052,['PHY1100'],1,[],0
18017408,['CHE2114'],1,[],0
18017410,['PHY3606'],1,[],0
18017627,['MAT3305'],1,[],0
18017724,['MAT2306'],1,[],0
18017861,['MAT3305'],1,[],0
18018016,['CHE1083'],1,[],0
18018197,['PHY2304'],1,[],0
18018317,['CHE1048'],1,[],0
18018391,['CHE2114'],1,[],0
18018516,['PHY3163'],1,[],0
18019822,['PHY2304'],1,[],0
18100073,['SMP2053'],1,[],0
18100235,['SMP2053'],1,[],0
18100338,['PHY1103'],1,[],0
18100726,['PHI1002'],1,[],0
18101200,['CHE1155'],1,[],0
