MSV,Ma_Mon_Hoc_rieng,So_luong_mon_rieng,Ma_Mon_chung,So_luong_lop_trung
20008326,"['CHE1075E CLCHD', 'CHE2114E CLCHD', 'CHE2115 TNH', 'CHE2115 TTH', 'CHE2116 TNH', 'CHE2116E TTH', 'CHE3300 CLCHD', 'CHE3301 CLCHD', 'CHE3301 CLCCNH', 'CHE3302 CLCHD', 'CHE3303', 'CHE3303 TNH', 'CHE4052', 'E340 TTKHMT', 'HIS1001', 'PHI1002']",16,"['CHE3301 CLCHD', 'CHE3303 TNH', 'CHE3303']",6
20008412,"['CHE1052', 'CHE1054', 'CHE1054 CLCHD', 'CHE1054 CLCCNKTHH', 'CHE1075', 'CHE1079', 'CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'POL1001']",13,"['CHE1054', 'CHE1054 CLCHD', 'CHE2019', 'CHE2019 CLCCNH']",11
20008415,"['HIS1001', 'MAT3535 CLCMTKHTT', 'MAT3551E CLCMTKHTT', 'MAT3552E CLCMTKHTT', 'MAT3555 CLCMTKHTT', 'MAT3557']",6,"['MAT3552E CLCMTKHTT', 'MAT3555 CLCMTKHTT']",4
20008436,"['CHE1079', 'CHE1084', 'CHE1085', 'CHE1091']",4,['CHE1085'],2
20008452,"['HIS1001', 'MAT2403', 'MAT3506', 'MAT3514', 'PHI1002', 'PHY2206', 'PHY2304', 'PHY2310', 'PHY2404 TNL', 'PHY3301']",10,['HIS1001'],1
20008471,"['HIS1001', 'PHY2304', 'PHY2502', 'PHY3302', 'PHY3609', 'PHY3610', 'PHY3610 TNL', 'PHY3610E QTL', 'PHY3623', 'PHY3624']",10,"['PHY3610', 'PHY3623']",3
20008474,"['BIO3258E QTS', 'BIO3401E QTS', 'BIO3403E QTS', 'BIO3405E QTS', 'BIO3411 CLCCNS', 'CHE1057 QTS', 'CHE1058', 'CHE1058 CLCHD', 'CHE1058 CLCCNH', 'CHE1062', 'CHE1062 CLCHD', 'HIS1001']",12,"['CHE1058 CLCHD', 'CHE1058', 'CHE1058 CLCCNH', 'CHE1062', 'CHE1062 CLCHD']",16
20008511,"['BIO3262 TNS', 'BIO3373 TNS', 'BIO3504 TNS', 'HIS1001', 'MAT1101', 'MAT1259 TNS', 'MAT2403', 'MAT3373', 'MAT3514', 'PHI1002', 'PHI1006', 'PHY2302', 'PHY2304', 'PHY3163', 'POL1001']",15,"['PHI1002', 'PHI1006']",10
20008595,"['MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT2406', 'MAT3365', 'MAT3372', 'MAT3507']",8,['MAT2317'],1
20008624,"['BIO3258E QTS', 'BIO3401E QTS', 'BIO3403E QTS', 'BIO3405E QTS', 'BIO3411 CLCCNS', 'CHE1057 QTS', 'CHE1058', 'CHE1058 CLCHD', 'CHE1058 CLCCNH', 'CHE1062', 'CHE1062 CLCHD', 'HIS1056', 'POL1001']",13,"['CHE1058 CLCHD', 'CHE1058', 'CHE1058 CLCCNH', 'CHE1062', 'CHE1062 CLCHD']",16
20008731,"['PHI1002', 'PHY2304', 'PHY2502', 'PHY3302', 'PHY3609', 'PHY3610', 'PHY3610 TNL', 'PHY3610E QTL', 'PHY3623', 'PHY3624']",10,"['PHY3610', 'PHY3623']",3
20008732,"['MAT2314', 'MAT2315', 'MAT2315E CLCMTKHTT', 'MAT2317', 'MAT2406', 'MAT3365', 'MAT3372', 'MAT3507']",8,['MAT2317'],1
20008806,"['CHE2110E TTH', 'CHE2113 TTH', 'CHE2118E TTH', 'CHE2119 TNH', 'CHE2119 TTH', 'MAT1092 TTH', 'PHY1161 TTH', 'PHY2000', 'PHY2000 TNL', 'PHY2000E QTL']",10,['PHY2000'],2
20008893,"['CHE1052', 'CHE1054', 'CHE1054 CLCHD', 'CHE1054 CLCCNKTHH', 'CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'POL1001']",10,"['CHE1054', 'CHE1054 CLCHD', 'CHE2019', 'CHE2019 CLCCNH']",11
20008905,"['CHE1052', 'CHE1054', 'CHE1054 CLCHD', 'CHE1054 CLCCNKTHH', 'CHE2114', 'HIS1001', 'HIS1056']",7,"['CHE1054', 'CHE1054 CLCHD']",9
20008989,"['BIO3190', 'BIO3191', 'EVF2007', 'EVF2032', 'EVS4071', 'PHI1002', 'PHI1006']",7,['PHI1006'],9
20008995,"['CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'CHE3300', 'HIS1001']",8,"['CHE2019', 'CHE2019 CLCCNH']",2
20008996,"['CHE1048', 'CHE1079', 'CHE1084', 'CHE1085', 'PHI1002']",5,['CHE1085'],2
20009162,"['CHE1048', 'CHE1091', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'POL1001']",8,"['CHE2019', 'CHE2019 CLCCNH']",2
20009218,"['CHE1052', 'CHE1054', 'CHE1054 CLCHD', 'CHE1054 CLCCNKTHH', 'CHE2018', 'CHE2019', 'CHE2019 CLCCNH', 'CHE2019 CLCHD', 'CHE2021', 'CHE3300', 'PHI1002']",11,"['CHE1054', 'CHE1054 CLCHD', 'CHE2019', 'CHE2019 CLCCNH']",11
