MSV,classCode,subjectCode
19002246,"['BIO2088 2', 'BIO3304 3', 'BIO3303 1', 'CHE3283 1CLCHD', 'BIO2220 1', 'CHE2030E 1CLCHD', 'CHE1067 1CLCHD', 'BIO3302 4']","['BIO3302', 'BIO2088', 'CHE2030E CLCHD', 'BIO3303', 'BIO3304', 'CHE1067 CLCHD', 'CHE3283 CLCHD', 'BIO2220']"
19002265,['CHE1067 3'],['CHE1067']
19002269,"['MAT2034', 'MAT3373', 'HIS1001 4', 'GEO1050 2', 'MAT3452 1', 'MAT3525']","['MAT2034', 'MAT3373', 'GEO1050', 'MAT3452', 'MAT3525', 'HIS1001']"
19002274,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3562E 2CLCMTKHTT', 'MAT3533 2CLCMTKHTT']","['MAT3533 CLCMTKHTT', 'MAT3562E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19002276,"['MAT3562E 2CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT2411E 1CLCMTKHTT', 'HIS1056 2']","['HIS1056', 'MAT3562E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19002277,"['PHY3302', 'PHY2302 7', 'CHE1080 3', 'PHY3167 2']","['PHY3302', 'CHE1080', 'PHY3167', 'PHY2302']"
19002302,"['CHE3045', 'MAT1092 5', 'POL1001 4', 'MAT1091 5', 'MAT4072', 'CHE3253', 'CHE3254', 'CHE1079']","['CHE3045', 'POL1001', 'MAT4072', 'MAT1091', 'MAT1092', 'CHE3253', 'CHE3254', 'CHE1079']"
19002315,"['BIO2220 4', 'BIO2201 1', 'BIO2088 4', 'BIO3302 1', 'BIO3304 1', 'BIO3303 4']","['BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'BIO2201', 'BIO2220']"
19002324,"['BIO3304 4', 'BIO2220 4', 'BIO2201 1', 'BIO2088 4', 'BIO3302 4', 'BIO3303 4']","['BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'BIO2201', 'BIO2220']"
19002327,"['BIO3303 3', 'BIO2220 3', 'BIO3304 3', 'BIO3302 3', 'BIO2088 3']","['BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'BIO2220']"
19002331,"['BIO3302E 1CLCCNS', 'BIO2045E 1CLCCNS', 'BIO2516 2CLCCNS', 'BIO2215E 1CLCCNS', 'BIO2127 1CLCCNS', 'BIO2800 1CLCCNS', 'BIO3802E 1CLCCNS']","['BIO3302E CLCCNS', 'BIO2127 CLCCNS', 'BIO3802E CLCCNS', 'BIO2045E CLCCNS', 'BIO2215E CLCCNS', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS']"
19002341,"['MAT2407 1', 'MAT3347 1', 'MAT2306 1', 'MAT3306', 'MAT3301']","['MAT2306', 'MAT2407', 'MAT3347', 'MAT3306', 'MAT3301']"
19002345,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3562E 1CLCMTKHTT', 'MAT3533 3CLCMTKHTT']","['MAT3533 CLCMTKHTT', 'MAT3562E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19002358,"['CHE3283 1CLCHD', 'CHE2030E 1CLCHD']","['CHE2030E CLCHD', 'CHE3283 CLCHD']"
19002361,"['CHE3283 1CLCHD', 'CHE1067 1CLCHD', 'GEO1050 6', 'CHE2030E 1CLCHD']","['CHE1067 CLCHD', 'GEO1050', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19002375,"['GEO3270', 'GEO2320 2', 'GEO3265', 'GEO3269']","['GEO3270', 'GEO3265', 'GEO2320', 'GEO3269']"
19002411,"['PHY3167 1', 'GEO1050 4', 'PHY3302']","['PHY3302', 'GEO1050', 'PHY3167']"
19002425,"['PHI1002 8', 'EVS3248', 'EVS2017', 'EVS3409', 'EVS3241']","['EVS3248', 'EVS2017', 'EVS3409', 'EVS3241', 'PHI1002']"
19002462,"['MAT1101 5', 'PHY1113 7', 'PHI1002 11', 'PHY2306', 'CHE1080 2', 'PHY1108 3', 'PHY2304 4']","['MAT1101', 'PHY1113', 'PHY1108', 'PHY2306', 'PHY2304', 'PHI1002', 'CHE1080']"
19002472,"['BIO2088 2', 'PHI1002 5', 'BIO3304 2', 'GEO1050 2', 'BIO3302 2', 'BIO2220 1', 'BIO3303 2']","['BIO3302', 'BIO2088', 'GEO1050', 'BIO3303', 'PHI1002', 'BIO3304', 'BIO2220']"
19002480,"['MAT2411E 1CLCMTKHTT', 'HIS1056 5', 'MAT3500 3CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'PHI1002 4']","['HIS1056', 'MAT3373E CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'PHI1002', 'MAT2411E CLCMTKHTT']"
19002481,"['GEO3270', 'GEO2320 2', 'GEO3265', 'POL1001 3', 'GEO3269', 'PHI1002 9']","['GEO3270', 'GEO3265', 'GEO3269', 'POL1001', 'PHI1002', 'GEO2320']"
19002495,"['MAT2407 2', 'MAT3452 2']","['MAT2407', 'MAT3452']"
19002505,"['CHE3283 1CLCHD', 'CHE1067 1CLCHD', 'CHE2030E 1CLCHD']","['CHE1067 CLCHD', 'CHE3283 CLCHD', 'CHE2030E CLCHD']"
19002509,"['MAT2301 2', 'MAT3525']","['MAT2301', 'MAT3525']"
19002514,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'PHY1103 6', 'MAT3500 3CLCMTKHTT']","['MAT3500 CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'PHY1103', 'MAT2411E CLCMTKHTT']"
19002524,"['PHY3302', 'PHY2302 7', 'PHY3167 2']","['PHY3302', 'PHY3167', 'PHY2302']"
19002540,"['MAT2318 2', 'MAT2034', 'MAT3452 1', 'MAT3373']","['MAT3373', 'MAT3452', 'MAT2034', 'MAT2318']"
19002541,"['EVS3244 2', 'EVS3158', 'MAT1092 7', 'EVS3287', 'EVS3232']","['EVS3158', 'MAT1092', 'EVS3287', 'EVS3232', 'EVS3244']"
19002553,"['PHY3606', 'PHY3163', 'PHY3508 3', 'PHY3608']","['PHY3606', 'PHY3163', 'PHY3508', 'PHY3608']"
19002565,"['CHE3045', 'CHE3254', 'CHE3253', 'CHE1075']","['CHE3045', 'CHE3254', 'CHE3253', 'CHE1075']"
19002573,"['EVS2109', 'MAT1101 1', 'EVS3248', 'EVS2017', 'POL1001 4', 'EVS3409', 'EVS3244 1']","['EVS2109', 'MAT1101', 'EVS3248', 'EVS2017', 'POL1001', 'EVS3409', 'EVS3244']"
19002611,"['BIO2089 TNS', 'BIO3701 TNS', 'BIO3377 TNS', 'BIO2504 TNS', 'BIO3257 TNS']","['BIO2089 TNS', 'BIO3701 TNS', 'BIO3377 TNS', 'BIO2504 TNS', 'BIO3257 TNS']"
19002617,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3500 3CLCMTKHTT']","['MAT3500 CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19002657,"['CHE1090', 'CHE1075', 'CHE1084']","['CHE1090', 'CHE1075', 'CHE1084']"
19002665,"['MAT3517E 1CLCMTKHTT', 'MAT2034', 'PHY3624 3']","['MAT3517E CLCMTKHTT', 'MAT2034', 'PHY3624']"
19002667,"['EVS3158', 'EVS3244 1', 'EVS3287', 'EVS4073 2', 'EVS3232', 'PHI1002 2']","['EVS4073', 'EVS3158', 'EVS3287', 'PHI1002', 'EVS3232', 'EVS3244']"
19002671,"['BIO2206 3', 'BIO2092', 'BIO2044', 'BIO3252 3', 'BIO2045 1', 'BIO2202 1', 'CHE1057 1', 'BIO2201 2']","['BIO2206', 'BIO2045', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201', 'BIO2202', 'CHE1057']"
19002691,"['BIO2127 2CLCCNS', 'BIO3302E 1CLCCNS', 'BIO2215E 1CLCCNS', 'BIO2800 1CLCCNS', 'PHY1103 10', 'BIO2516 3CLCCNS', 'HIS1001 11', 'BIO3802E 1CLCCNS']","['BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'BIO2127 CLCCNS', 'PHY1103', 'HIS1001']"
19002696,"['CHE3045', 'CHE1075', 'CHE3253', 'CHE3254', 'CHE1079']","['CHE3045', 'CHE1075', 'CHE3253', 'CHE3254', 'CHE1079']"
19002697,"['BIO2127 2CLCCNS', 'BIO2800 4CLCCNS', 'BIO3302E 4CLCCNS', 'BIO3701 TNS', 'BIO2516 4CLCCNS', 'BIO2215E 4CLCCNS', 'BIO3802E 2CLCCNS']","['BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'BIO3701 TNS', 'BIO2127 CLCCNS']"
19002735,"['MAT3533', 'HIS1001 3', 'MAT3525', 'MAT2407 2', 'MAT3452 2']","['MAT3533', 'MAT2407', 'MAT3452', 'MAT3525', 'HIS1001']"
19002740,"['MAT3373', 'HIS1001 5', 'MAT2403 2']","['MAT3373', 'MAT2403', 'HIS1001']"
19002743,"['PHY3302', 'PHY1108 6']","['PHY1108', 'PHY3302']"
19002746,"['MAT3452 1', 'MAT3365', 'POL1001 2', 'MAT3525', 'MAT2301 1', 'MAT2406']","['POL1001', 'MAT3365', 'MAT3452', 'MAT3525', 'MAT2301', 'MAT2406']"
19002752,"['MAT3533', 'CHE3283 1CLCHD', 'MAT3525', 'MAT2407 2', 'MAT3452 2', 'CHE2030E 1CLCHD', 'CHE1067 1CLCHD']","['MAT3533', 'MAT2407', 'CHE2030E CLCHD', 'MAT3452', 'MAT3525', 'CHE1067 CLCHD', 'CHE3283 CLCHD']"
19002761,"['MAT3539 2', 'MAT3373', 'MAT3452 1', 'MAT3525']","['MAT3539', 'MAT3452', 'MAT3373', 'MAT3525']"
19002773,"['PHY3606', 'PHY3508 2', 'PHY3608']","['PHY3606', 'PHY3508', 'PHY3608']"
19002810,"['MAT3373', 'MAT3452 1', 'MAT3500 1']","['MAT3452', 'MAT3373', 'MAT3500']"
19002815,"['PHY2064 TNL', 'PHY3508 4TNL', 'PHY3608 2TNL']","['PHY3508 TNL', 'PHY2064 TNL', 'PHY3608 TNL']"
19002825,"['EVS3244 2', 'EVS3158', 'EVS3287', 'CHE1081 7', 'EVS4073 2', 'HIS1001 1', 'EVS3232', 'PHI1002 2']","['EVS4073', 'EVS3158', 'CHE1081', 'EVS3287', 'PHI1002', 'EVS3232', 'EVS3244', 'HIS1001']"
19002845,"['POL1001 1', 'EVS3244 2', 'PHI1002 5', 'EVS3158', 'MAT1092 7', 'EVS4073 1', 'EVS3287', 'EVS3232', 'PHY1100 4']","['EVS4073', 'PHY1100', 'EVS3158', 'POL1001', 'MAT1092', 'EVS3287', 'PHI1002', 'EVS3232', 'EVS3244']"
19002848,"['GEO3270', 'GEO2320 2', 'POL1001 1', 'GEO3265', 'GEO3269']","['GEO3270', 'GEO3265', 'GEO3269', 'POL1001', 'GEO2320']"
19002853,"['BIO2127 2CLCCNS', 'HIS1001 2', 'BIO2800 4CLCCNS', 'BIO3302E 4CLCCNS', 'BIO2516 4CLCCNS', 'BIO2215E 4CLCCNS', 'BIO3802E 2CLCCNS']","['BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'BIO2127 CLCCNS', 'HIS1001']"
19002867,"['MAT3533', 'MAT3525', 'POL1001 11', 'MAT2407 2', 'MAT3452 2']","['MAT3533', 'POL1001', 'MAT2407', 'MAT3452', 'MAT3525']"
19002876,"['MAT2411E 1CLCMTKHTT', 'MAT3373E 1CLCMTKHTT', 'MAT3500 3CLCMTKHTT', 'MAT3533 3CLCMTKHTT']","['MAT3533 CLCMTKHTT', 'MAT3500 CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19002880,"['BIO3302E 1CLCCNS', 'MAT2407 1', 'BIO2516 1CLCCNS', 'BIO2215E 1CLCCNS', 'MAT3347 1', 'MAT2311', 'BIO2127 1CLCCNS', 'MAT2306 1', 'BIO2800 1CLCCNS', 'MAT3306', 'BIO3802E 1CLCCNS']","['BIO3302E CLCCNS', 'MAT2306', 'BIO2127 CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'MAT2407', 'BIO2516 CLCCNS', 'MAT2311', 'MAT3347', 'MAT3306', 'BIO2800 CLCCNS']"
19002889,"['CHE3253 2CLCCNH', 'CHE1048 2CLCCNH', 'CHE3254 2CLCCNH', 'CHE3045E CLCCNH']","['CHE3253 CLCCNH', 'CHE1048 CLCCNH', 'CHE3045E CLCCNH', 'CHE3254 CLCCNH']"
19002897,"['GEO3270', 'GEO2320 2', 'GEO3265', 'GEO3269', 'PHI1002 9']","['GEO3270', 'GEO3265', 'GEO3269', 'PHI1002', 'GEO2320']"
19002899,"['BIO3303 3', 'BIO2220 3', 'BIO3304 3', 'BIO3302 3', 'BIO2088 3']","['BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'BIO2220']"
19002913,"['PHY2064 TNL', 'PHY3508 4TNL', 'PHY3346 TNL', 'PHY3608 2TNL']","['PHY3608 TNL', 'PHY2064 TNL', 'PHY3508 TNL', 'PHY3346 TNL']"
19002915,"['MAT3101 TNT', 'MAT3347 2', 'MAT2311 2TNT', 'MAT3318 2TNT', 'MAT3322 TNT', 'MAT3306']","['MAT2311 TNT', 'MAT3101 TNT', 'MAT3318 TNT', 'MAT3347', 'MAT3322 TNT', 'MAT3306']"
19002922,"['MAT3533', 'MAT2318 1', 'MAT3551E 2CLCMTKHTT', 'MAT3517E 1CLCMTKHTT', 'PHI1002 1']","['MAT3551E CLCMTKHTT', 'MAT3533', 'MAT3517E CLCMTKHTT', 'MAT2318', 'PHI1002']"
19002943,"['CHE2030E 2CLCHD', 'HIS1001 7', 'CHE3283 2CLCHD']","['CHE2030E CLCHD', 'HIS1001', 'CHE3283 CLCHD']"
19002954,"['BIO3303 3', 'BIO3304 3', 'BIO3302 3', 'BIO2088 3', 'BIO2220 2']","['BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'BIO2220']"
19002957,"['MAT3562E 1CLCMTKHTT', 'MAT2411E 2CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'PHI1002 10', 'MAT3533 3CLCMTKHTT']","['MAT3562E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'PHI1002', 'MAT2411E CLCMTKHTT']"
19002960,"['MAT3533', 'HIS1001 10', 'MAT3525', 'MAT2407 2', 'MAT3452 2']","['MAT3533', 'MAT2407', 'MAT3452', 'MAT3525', 'HIS1001']"
19002972,"['BIO2206 3', 'BIO2202 3', 'BIO2092', 'BIO2201 4', 'BIO2044', 'BIO3252 2', 'BIO2045 1']","['BIO2206', 'BIO2045', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201', 'BIO2202']"
19002982,"['CHE1084', 'CHE1052', 'CHE1090', 'PHI1002 1', 'HIS1001 11']","['CHE1084', 'CHE1052', 'CHE1090', 'PHI1002', 'HIS1001']"
19003019,"['PHY1108 1', 'PHY2306']","['PHY1108', 'PHY2306']"
19003021,"['MAT3539 2', 'HIS1001 8', 'MAT2407 2', 'MAT3452 2']","['MAT2407', 'MAT3539', 'MAT3452', 'HIS1001']"
19003032,"['PHI1002 3', 'BIO2202 3', 'BIO2092', 'BIO3252 2', 'BIO2044', 'BIO2045 2', 'BIO2201 3', 'CHE1057 1']","['BIO2045', 'BIO2092', 'BIO2044', 'PHI1002', 'BIO3252', 'BIO2201', 'BIO2202', 'CHE1057']"
19003033,"['BIO2405E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3227E QTS', 'BIO3372E QTS']","['BIO2405E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3227E QTS', 'BIO3372E QTS']"
19003035,"['PHI1002 12', 'MAT2314', 'MAT2303 2', 'MAT2301 4']","['MAT2301', 'MAT2314', 'MAT2303', 'PHI1002']"
19003053,"['GEO3270', 'GEO2320 2', 'CHE2131 TNH', 'GEO3265', 'GEO3269', 'CHE2130 TNH', 'GEO1050 1', 'PHI1002 9', 'CHE2121 TNH']","['GEO3270', 'CHE2131 TNH', 'GEO3265', 'GEO3269', 'CHE2130 TNH', 'GEO1050', 'PHI1002', 'GEO2320', 'CHE2121 TNH']"
19003056,"['CHE1075', 'CHE1090', 'CHE1084']","['CHE1075', 'CHE1090', 'CHE1084']"
19003063,"['BIO2127 2CLCCNS', 'MAT3373', 'MAT2034', 'BIO3302E 5CLCCNS', 'CHE1080 5', 'BIO2516 2CLCCNS', 'MAT3452 1', 'BIO2800 3CLCCNS', 'BIO2215E 1CLCCNS', 'MAT3525', 'CHE1081 7', 'PHY1103 7', 'MAT2407 2', 'BIO3802E 2CLCCNS']","['BIO3302E CLCCNS', 'MAT3373', 'MAT2034', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'CHE1081', 'MAT2407', 'MAT3452', 'MAT3525', 'BIO2127 CLCCNS', 'CHE1080', 'PHY1103']"
19003076,"['BIO2206 3', 'BIO2092', 'MAT1091 8', 'BIO3252 2', 'BIO2044', 'BIO2045 1', 'BIO2202 1', 'CHE1057 1', 'BIO2201 2']","['BIO2206', 'BIO2045', 'BIO2092', 'MAT1091', 'BIO2044', 'BIO3252', 'BIO2201', 'BIO2202', 'CHE1057']"
19003082,"['HIS1056 10', 'MAT3525', 'MAT3533']","['HIS1056', 'MAT3525', 'MAT3533']"
19003083,"['CHE3045', 'CHE1075', 'CHE2021', 'CHE3253', 'CHE3254', 'CHE1079', 'HIS1001 6']","['CHE3045', 'CHE1075', 'CHE2021', 'CHE3253', 'CHE3254', 'CHE1079', 'HIS1001']"
19003089,"['BIO3303 3', 'BIO2201 1', 'BIO2088 4', 'BIO3302 2', 'BIO2220 2', 'BIO3304 1']","['BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'BIO2201', 'BIO2220']"
19003094,"['MAT3373E 2CLCMTKHTT', 'MAT2411E 2CLCMTKHTT', 'MAT3500 3CLCMTKHTT']","['MAT3500 CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19003103,['CHE1084'],['CHE1084']
19003123,"['BIO3304 4', 'BIO2220 4', 'BIO2088 4', 'CHE1080 2', 'BIO3302 4', 'BIO3303 4']","['BIO3302', 'BIO2088', 'BIO3303', 'BIO3304', 'CHE1080', 'BIO2220']"
19003142,"['CHE1090', 'CHE1075', 'CHE1084']","['CHE1090', 'CHE1075', 'CHE1084']"
19003146,"['EVS2109', 'PHY1100 2', 'EVS3248', 'EVS2017', 'EVS3409', 'EVS3244 1', 'CHE1080 1']","['EVS2109', 'PHY1100', 'EVS3248', 'EVS2017', 'EVS3409', 'CHE1080', 'EVS3244']"
19003152,"['GEO2016', 'MAT1192 4', 'GEO2025', 'PHY1103 1', 'GEO2320 1', 'POL1001 5', 'HIS1056 2']","['HIS1056', 'MAT1192', 'GEO2016', 'POL1001', 'GEO2025', 'GEO2320', 'PHY1103']"
19003155,"['MAT3533', 'HIS1001 4', 'CHE3283 1CLCHD', 'MAT3525', 'CHE2030E 1CLCHD', 'MAT3452 2', 'MAT2407 2', 'CHE1067 1CLCHD']","['MAT3533', 'MAT2407', 'CHE2030E CLCHD', 'MAT3452', 'MAT3525', 'CHE1067 CLCHD', 'CHE3283 CLCHD', 'HIS1001']"
19003171,"['EVS3158', 'MAT1091 10', 'EVS3287', 'EVS4073 3CLCCNKTMT', 'EVS3232']","['EVS3158', 'MAT1091', 'EVS3287', 'EVS4073 CLCCNKTMT', 'EVS3232']"
19003174,"['CHE3045', 'GEO2320 2', 'CHE2131 TNH', 'GEO3265', 'GEO3270', 'HIS1001 12', 'CHE1080 4', 'GEO3269', 'CHE2130 TNH', 'CHE1075', 'CHE3253', 'CHE3254', 'CHE1079', 'CHE2121 TNH']","['CHE3045', 'CHE2131 TNH', 'GEO3270', 'GEO3265', 'GEO3269', 'CHE2130 TNH', 'CHE1075', 'CHE3253', 'GEO2320', 'CHE1080', 'CHE3254', 'CHE1079', 'CHE2121 TNH', 'HIS1001']"
19003187,"['POL1001 1', 'CHE3045', 'GEO1050 6', 'CHE1075', 'CHE3253', 'CHE3254', 'CHE1079']","['CHE3045', 'GEO1050', 'POL1001', 'CHE1075', 'CHE3253', 'CHE3254', 'CHE1079']"
19003195,"['CHE3045', 'CHE1075', 'CHE2021', 'CHE3253', 'CHE3254', 'CHE1079']","['CHE3045', 'CHE1075', 'CHE2021', 'CHE3253', 'CHE3254', 'CHE1079']"
19003206,"['MAT2411E 1CLCMTKHTT', 'MAT3562E 1CLCMTKHTT', 'MAT2407 1', 'MAT3533 2CLCMTKHTT', 'MAT3347 1', 'MAT2306 1', 'MAT3306', 'MAT3373E 1CLCMTKHTT', 'MAT3301']","['MAT2306', 'MAT3373E CLCMTKHTT', 'MAT3562E CLCMTKHTT', 'MAT3533 CLCMTKHTT', 'MAT2407', 'MAT3347', 'MAT3306', 'MAT3301', 'MAT2411E CLCMTKHTT']"
19003216,"['CHE2030E 2CLCHD', 'CHE2114E 1CLCHD']","['CHE2114E CLCHD', 'CHE2030E CLCHD']"
19003223,"['BIO2127 2CLCCNS', 'BIO2043 CLCCNS', 'BIO3302E 5CLCCNS', 'BIO2800 5CLCCNS', 'BIO2516 6CLCCNS', 'CHE1081 7', 'BIO3178 2CLCCNS', 'MAT1101 13', 'BIO3802E 2CLCCNS', 'BIO2215E 5CLCCNS']","['BIO3302E CLCCNS', 'MAT1101', 'BIO2043 CLCCNS', 'BIO3802E CLCCNS', 'BIO2127 CLCCNS', 'BIO2215E CLCCNS', 'BIO3178 CLCCNS', 'CHE1081', 'BIO2516 CLCCNS', 'BIO2800 CLCCNS']"
19003226,"['MAT3562E 2CLCMTKHTT', 'MAT2411E 2CLCMTKHTT', 'MAT3373E 2CLCMTKHTT', 'MAT3533 2CLCMTKHTT']","['MAT3533 CLCMTKHTT', 'MAT3562E CLCMTKHTT', 'MAT3373E CLCMTKHTT', 'MAT2411E CLCMTKHTT']"
19003228,"['POL1001 1', 'EVS3244 2', 'EVS3158', 'EVS3287', 'EVS4073 1', 'EVS3232']","['EVS4073', 'EVS3158', 'POL1001', 'EVS3287', 'EVS3232', 'EVS3244']"
19003239,"['MAT1192 3', 'BIO3252 1', 'BIO2204 4', 'BIO2092', 'BIO2044', 'BIO2206 1', 'BIO2201 3']","['BIO2204', 'MAT1192', 'BIO2206', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201']"
19003245,"['MAT2306 2', 'MAT2407 1', 'MAT3305', 'MAT2311', 'MAT3347 1', 'MAT3306']","['MAT2306', 'MAT3305', 'MAT2407', 'MAT2311', 'MAT3347', 'MAT3306']"
19003248,"['PHI1002 12', 'BIO3303 3', 'MAT3533', 'BIO2088 1', 'HIS1001 1', 'BIO2201 1', 'BIO3302 3', 'MAT3525', 'MAT2407 2', 'BIO2220 2', 'BIO3304 1']","['BIO3302', 'MAT3533', 'BIO2088', 'MAT2407', 'MAT3525', 'PHI1002', 'BIO3304', 'BIO3303', 'BIO2201', 'BIO2220', 'HIS1001']"
19003250,"['HMO2110', 'HIS1001 12', 'HMO3311', 'HMO3312', 'HMO3321', 'HMO3307', 'HMO3306']","['HMO2110', 'HMO3311', 'HMO3312', 'HMO3321', 'HMO3307', 'HMO3306', 'HIS1001']"
19003251,['CHE3300 1'],['CHE3300']
19003254,"['POL1001 3', 'PHY3508 1', 'PHY3163', 'PHY3606', 'PHY3608']","['POL1001', 'PHY3508', 'PHY3163', 'PHY3606', 'PHY3608']"
19003291,"['CHE1052', 'CHE3253 2CLCCNH', 'CHE1048 2CLCCNH', 'PHI1002 10', 'CHE3254 2CLCCNH', 'CHE3045E CLCCNH']","['CHE1048 CLCCNH', 'CHE3253 CLCCNH', 'CHE1052', 'PHI1002', 'CHE3045E CLCCNH', 'CHE3254 CLCCNH']"
19003292,"['MAT2407 1', 'MAT3347 1', 'MAT2303 4', 'MAT2306 1', 'MAT3306', 'MAT3301']","['MAT2306', 'MAT2407', 'MAT3347', 'MAT3306', 'MAT3301', 'MAT2303']"
19003296,"['CHE1048', 'CHE3254', 'CHE3253', 'HIS1001 6']","['CHE1048', 'CHE3254', 'CHE3253', 'HIS1001']"
19003301,"['GLO3158', 'GLO3198', 'GLO3122', 'GLO3228', 'GLO3229']","['GLO3158', 'GLO3198', 'GLO3122', 'GLO3228', 'GLO3229']"
19003308,"['CHE1079', 'CHE1084']","['CHE1079', 'CHE1084']"
19003317,"['CHE3283 1CLCHD', 'CHE1067 1CLCHD', 'GEO1050 6', 'CHE2030E 1CLCHD']","['CHE1067 CLCHD', 'GEO1050', 'CHE2030E CLCHD', 'CHE3283 CLCHD']"
19003334,"['HIS1001 2', 'BIO2092', 'BIO2044', 'BIO3252 3', 'BIO2045 2', 'BIO2206 2', 'BIO2202 1', 'BIO2201 2']","['BIO2206', 'BIO2045', 'BIO2092', 'BIO2044', 'BIO3252', 'BIO2201', 'BIO2202', 'HIS1001']"
19003347,"['BIO2127 2CLCCNS', 'BIO3302E 6CLCCNS', 'BIO2800 6CLCCNS', 'BIO3182 2CLCCNS', 'CHE1057 5CLCCNS', 'BIO2516 6CLCCNS', 'BIO2215E 6CLCCNS', 'BIO2400E 3CLCCNS', 'BIO3802E 2CLCCNS']","['BIO3302E CLCCNS', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'CHE1057 CLCCNS', 'BIO2127 CLCCNS', 'BIO3182 CLCCNS', 'BIO2400E CLCCNS']"
19003350,"['BIO3303 3', 'BIO3304 3', 'BIO2220 3', 'BIO3302 3', 'BIO2088 3', 'PHY1020 1']","['BIO3302', 'BIO2088', 'PHY1020', 'BIO3303', 'BIO3304', 'BIO2220']"
19003364,"['CHE1048', 'HIS1001 7', 'CHE1084']","['CHE1048', 'CHE1084', 'HIS1001']"
19003365,"['GLO3158', 'GLO3198', 'GLO3122', 'GLO3228', 'GLO3229']","['GLO3158', 'GLO3198', 'GLO3122', 'GLO3228', 'GLO3229']"
19003379,"['BIO2127 2CLCCNS', 'BIO3302E 5CLCCNS', 'MAT1101 3', 'BIO2800 5CLCCNS', 'BIO2516 4CLCCNS', 'PHI1002 1', 'BIO3802E 2CLCCNS', 'BIO2215E 5CLCCNS']","['BIO3302E CLCCNS', 'MAT1101', 'BIO3802E CLCCNS', 'BIO2215E CLCCNS', 'BIO2800 CLCCNS', 'BIO2516 CLCCNS', 'PHI1002', 'BIO2127 CLCCNS']"
19003389,"['BIO2405E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3227E QTS', 'BIO3372E QTS']","['BIO2405E QTS', 'BIO3252E QTS', 'BIO3370E QTS', 'BIO3227E QTS', 'BIO3372E QTS']"
19003390,"['MAT1192 2', 'GEO2304', 'PHY1100 14', 'GEO3143', 'GEO3360', 'PHI1002 1']","['MAT1192', 'PHY1100', 'GEO2304', 'PHI1002', 'GEO3143', 'GEO3360']"
19003394,"['GLO3158', 'GLO3198', 'GLO3122', 'GLO3228', 'GLO3229']","['GLO3158', 'GLO3198', 'GLO3122', 'GLO3228', 'GLO3229']"
19003398,"['PHY3606', 'PHY1113 6', 'PHY1108 3', 'PHY3508 3']","['PHY3606', 'PHY3508', 'PHY1108', 'PHY1113']"
